,num_particles,c1,c2,w,seed,max_iter,fitness
52,500,2.5,1.5,1.0,2,75,32676
53,500,2.5,1.5,1.0,3,75,32845
54,500,2.5,1.5,1.0,4,75,32299
55,500,2.5,1.5,1.2,0,75,32962
56,500,2.5,1.5,1.2,1,75,32609
57,500,2.5,1.5,1.2,2,75,32767
58,500,2.5,1.5,1.2,3,75,31891
59,500,2.5,1.5,1.2,4,75,32898
60,500,2.5,1.0,0.8,0,75,32510
61,500,2.5,1.0,0.8,1,75,32518
62,500,2.5,1.0,0.8,2,75,32662
63,500,2.5,1.0,0.8,3,75,32621
64,500,2.5,1.0,0.8,4,75,32584
65,500,2.5,1.0,1.0,0,75,32807
66,500,2.5,1.0,1.0,1,75,32517
67,500,2.5,1.0,1.0,2,75,32553
68,500,2.5,1.0,1.0,3,75,32506
69,500,2.5,1.0,1.0,4,75,32594
70,500,2.5,1.0,1.2,0,75,32786
71,500,2.5,1.0,1.2,1,75,32730
72,500,2.5,1.0,1.2,2,75,32785
73,500,2.5,1.0,1.2,3,75,32727
74,500,2.5,1.0,1.2,4,75,32936
0,500,3.0,3.0,0.8,0,75,32950
1,500,3.0,3.0,0.8,1,75,32944
2,500,3.0,3.0,0.8,2,75,32799
3,500,3.0,3.0,0.8,3,75,32370
4,500,3.0,3.0,0.8,4,75,32894
5,500,3.0,3.0,1.0,0,75,32701
6,500,3.0,3.0,1.0,1,75,32715
7,500,3.0,3.0,1.0,2,75,32962
8,500,3.0,3.0,1.0,3,75,32331
9,500,3.0,3.0,1.0,4,75,32804
10,500,3.0,3.0,1.2,0,75,32810
11,500,3.0,3.0,1.2,1,75,32922
12,500,3.0,3.0,1.2,2,75,32683
13,500,3.0,3.0,1.2,3,75,32551
14,500,3.0,3.0,1.2,4,75,32383
15,500,3.0,2.5,0.8,0,75,32920
16,500,3.0,2.5,0.8,1,75,32754
17,500,3.0,2.5,0.8,2,75,32912
18,500,3.0,2.5,0.8,3,75,32464
19,500,3.0,2.5,0.8,4,75,32944
20,500,3.0,2.5,1.0,0,75,32945
21,500,3.0,2.5,1.0,1,75,32768
22,500,3.0,2.5,1.0,2,75,32517
23,500,3.0,2.5,1.0,3,75,32107
24,500,3.0,2.5,1.0,4,75,32812
25,500,3.0,2.5,1.2,0,75,32775
26,500,3.0,2.5,1.2,1,75,32749
27,500,3.0,2.5,1.2,2,75,32864
28,500,3.0,2.5,1.2,3,75,32789
29,500,3.0,2.5,1.2,4,75,32920
30,500,3.0,2.0,0.8,0,75,32789
31,500,3.0,2.0,0.8,1,75,32758
32,500,3.0,2.0,0.8,2,75,32624
33,500,3.0,2.0,0.8,3,75,32429
34,500,3.0,2.0,0.8,4,75,32505
35,500,3.0,2.0,1.0,0,75,32867
36,500,3.0,2.0,1.0,1,75,32850
37,500,3.0,2.0,1.0,2,75,32805
38,500,3.0,2.0,1.0,3,75,32936
39,500,3.0,2.0,1.0,4,75,32379
40,500,3.0,2.0,1.2,0,75,32675
41,500,3.0,2.0,1.2,1,75,32869
42,500,3.0,2.0,1.2,2,75,32896
43,500,3.0,2.0,1.2,3,75,32654
44,500,3.0,2.0,1.2,4,75,32882
45,500,3.0,1.5,0.8,0,75,32554
46,500,3.0,1.5,0.8,1,75,32620
47,500,3.0,1.5,0.8,2,75,32666
48,500,3.0,1.5,0.8,3,75,32917
49,500,3.0,1.5,0.8,4,75,32828
50,500,3.0,1.5,1.0,0,75,32838
51,500,3.0,1.5,1.0,1,75,32814
52,500,3.0,1.5,1.0,2,75,32761
53,500,3.0,1.5,1.0,3,75,32690
54,500,3.0,1.5,1.0,4,75,32518
55,500,3.0,1.5,1.2,0,75,32917
56,500,3.0,1.5,1.2,1,75,32887
57,500,3.0,1.5,1.2,2,75,32797
58,500,3.0,1.5,1.2,3,75,32797
59,500,3.0,1.5,1.2,4,75,32407
60,500,3.0,1.0,0.8,0,75,32649
61,500,3.0,1.0,0.8,1,75,32614
62,500,3.0,1.0,0.8,2,75,32681
63,500,3.0,1.0,0.8,3,75,32580
64,500,3.0,1.0,0.8,4,75,32603
65,500,3.0,1.0,1.0,0,75,32463
66,500,3.0,1.0,1.0,1,75,32930
67,500,3.0,1.0,1.0,2,75,32504
68,500,3.0,1.0,1.0,3,75,32689
69,500,3.0,1.0,1.0,4,75,32784
70,500,3.0,1.0,1.2,0,75,32793
71,500,3.0,1.0,1.2,1,75,32323
72,500,3.0,1.0,1.2,2,75,32613
73,500,3.0,1.0,1.2,3,75,32634
74,500,3.0,1.0,1.2,4,75,32811
225,500,2.0,3.0,0.8,0,75,32368
226,500,2.0,3.0,0.8,1,75,32950
227,500,2.0,3.0,0.8,2,75,32775
228,500,2.0,3.0,0.8,3,75,32441
229,500,2.0,3.0,0.8,4,75,32138
230,500,2.0,3.0,1.0,0,75,32503
231,500,2.0,3.0,1.0,1,75,32871
232,500,2.0,3.0,1.0,2,75,32784
233,500,2.0,3.0,1.0,3,75,32462
234,500,2.0,3.0,1.0,4,75,32466
235,500,2.0,3.0,1.2,0,75,32347
236,500,2.0,3.0,1.2,1,75,32908
237,500,2.0,3.0,1.2,2,75,32806
238,500,2.0,3.0,1.2,3,75,32218
239,500,2.0,3.0,1.2,4,75,32397
240,500,2.0,2.5,0.8,0,75,32944
241,500,2.0,2.5,0.8,1,75,32930
242,500,2.0,2.5,0.8,2,75,32506
243,500,2.0,2.5,0.8,3,75,32632
244,500,2.0,2.5,0.8,4,75,32944
245,500,2.0,2.5,1.0,0,75,32914
246,500,2.0,2.5,1.0,1,75,32957
247,500,2.0,2.5,1.0,2,75,32699
248,500,2.0,2.5,1.0,3,75,32563
249,500,2.0,2.5,1.0,4,75,32719
250,500,2.0,2.5,1.2,0,75,32592
251,500,2.0,2.5,1.2,1,75,32942
252,500,2.0,2.5,1.2,2,75,32826
253,500,2.0,2.5,1.2,3,75,32467
254,500,2.0,2.5,1.2,4,75,32699
255,500,2.0,2.0,0.8,0,75,32786
256,500,2.0,2.0,0.8,1,75,32688
257,500,2.0,2.0,0.8,2,75,32822
258,500,2.0,2.0,0.8,3,75,32570
259,500,2.0,2.0,0.8,4,75,32205
260,500,2.0,2.0,1.0,0,75,32656
261,500,2.0,2.0,1.0,1,75,32807
262,500,2.0,2.0,1.0,2,75,32553
263,500,2.0,2.0,1.0,3,75,32784
264,500,2.0,2.0,1.0,4,75,32812
265,500,2.0,2.0,1.2,0,75,32779
266,500,2.0,2.0,1.2,1,75,32901
267,500,2.0,2.0,1.2,2,75,32938
268,500,2.0,2.0,1.2,3,75,32334
269,500,2.0,2.0,1.2,4,75,32357
270,500,2.0,1.5,0.8,0,75,32300
271,500,2.0,1.5,0.8,1,75,32395
272,500,2.0,1.5,0.8,2,75,32603
273,500,2.0,1.5,0.8,3,75,32221
