,total_profit,algorithm,nbr_func,its,seed,zero_prob
17,31270,HC,bin_nbr_one_flip,50000,2,0.5
18,30678,HC,bin_nbr_one_flip,10000,3,0.1
19,30678,HC,bin_nbr_one_flip,10000,3,0.2
20,30678,HC,bin_nbr_one_flip,10000,3,0.5
21,30954,HC,bin_nbr_one_flip,50000,3,0.1
22,30954,HC,bin_nbr_one_flip,50000,3,0.2
23,30954,HC,bin_nbr_one_flip,50000,3,0.5
24,29912,HC,bin_nbr_one_flip,10000,4,0.1
25,29912,HC,bin_nbr_one_flip,10000,4,0.2
26,29912,HC,bin_nbr_one_flip,10000,4,0.5
27,31053,HC,bin_nbr_one_flip,50000,4,0.1
28,31053,HC,bin_nbr_one_flip,50000,4,0.2
29,31053,HC,bin_nbr_one_flip,50000,4,0.5
30,9938,HC,bin_nbr_one_flip_every_day,10000,0,0.1
31,9938,HC,bin_nbr_one_flip_every_day,10000,0,0.2
32,9938,HC,bin_nbr_one_flip_every_day,10000,0,0.5
33,9938,HC,bin_nbr_one_flip_every_day,50000,0,0.1
34,9938,HC,bin_nbr_one_flip_every_day,50000,0,0.2
35,9938,HC,bin_nbr_one_flip_every_day,50000,0,0.5
36,15053,HC,bin_nbr_one_flip_every_day,10000,1,0.1
37,15053,HC,bin_nbr_one_flip_every_day,10000,1,0.2
38,15053,HC,bin_nbr_one_flip_every_day,10000,1,0.5
39,15053,HC,bin_nbr_one_flip_every_day,50000,1,0.1
40,15053,HC,bin_nbr_one_flip_every_day,50000,1,0.2
41,15053,HC,bin_nbr_one_flip_every_day,50000,1,0.5
42,7317,HC,bin_nbr_one_flip_every_day,10000,2,0.1
43,7317,HC,bin_nbr_one_flip_every_day,10000,2,0.2
44,7317,HC,bin_nbr_one_flip_every_day,10000,2,0.5
45,7355,HC,bin_nbr_one_flip_every_day,50000,2,0.1
46,7355,HC,bin_nbr_one_flip_every_day,50000,2,0.2
47,7355,HC,bin_nbr_one_flip_every_day,50000,2,0.5
48,11656,HC,bin_nbr_one_flip_every_day,10000,3,0.1
49,11656,HC,bin_nbr_one_flip_every_day,10000,3,0.2
50,11656,HC,bin_nbr_one_flip_every_day,10000,3,0.5
51,11656,HC,bin_nbr_one_flip_every_day,50000,3,0.1
52,11656,HC,bin_nbr_one_flip_every_day,50000,3,0.2
53,11656,HC,bin_nbr_one_flip_every_day,50000,3,0.5
54,13013,HC,bin_nbr_one_flip_every_day,10000,4,0.1
55,13013,HC,bin_nbr_one_flip_every_day,10000,4,0.2
56,13013,HC,bin_nbr_one_flip_every_day,10000,4,0.5
57,13013,HC,bin_nbr_one_flip_every_day,50000,4,0.1
58,13013,HC,bin_nbr_one_flip_every_day,50000,4,0.2
59,13013,HC,bin_nbr_one_flip_every_day,50000,4,0.5
60,-622,HC,bin_nbr_modify_everything,10000,0,0.1
61,-622,HC,bin_nbr_modify_everything,10000,0,0.2
62,-622,HC,bin_nbr_modify_everything,10000,0,0.5
63,-622,HC,bin_nbr_modify_everything,50000,0,0.1
64,-622,HC,bin_nbr_modify_everything,50000,0,0.2
65,-622,HC,bin_nbr_modify_everything,50000,0,0.5
66,5833,HC,bin_nbr_modify_everything,10000,1,0.1
67,5833,HC,bin_nbr_modify_everything,10000,1,0.2
68,5833,HC,bin_nbr_modify_everything,10000,1,0.5
69,5833,HC,bin_nbr_modify_everything,50000,1,0.1
70,5833,HC,bin_nbr_modify_everything,50000,1,0.2
71,5833,HC,bin_nbr_modify_everything,50000,1,0.5
72,-703,HC,bin_nbr_modify_everything,10000,2,0.1
73,-703,HC,bin_nbr_modify_everything,10000,2,0.2
74,-703,HC,bin_nbr_modify_everything,10000,2,0.5
75,-671,HC,bin_nbr_modify_everything,50000,2,0.1
76,-671,HC,bin_nbr_modify_everything,50000,2,0.2
77,-671,HC,bin_nbr_modify_everything,50000,2,0.5
