,total_profit,algorithm,nbr_func,its,seed,elitism_enum,crossover,selection,popsize,tsize,pmut,zero_prob
128,27804,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,10,0.05,0.1
129,27744,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,10,0.05,0.5
130,27592,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,25,0.05,0.1
131,27641,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,500,25,0.05,0.5
132,27434,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,5,0.01,0.1
133,27311,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,5,0.01,0.5
134,27829,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,10,0.01,0.1
135,27937,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,10,0.01,0.5
136,27706,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,25,0.01,0.1
137,27706,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,25,0.01,0.5
138,26918,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,5,0.05,0.1
139,27052,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,5,0.05,0.5
140,27603,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,10,0.05,0.1
141,27806,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,10,0.05,0.5
142,27459,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,25,0.05,0.1
143,27423,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,500,25,0.05,0.5
144,27060,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,5,0.01,0.1
145,27026,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,5,0.01,0.5
146,27531,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,10,0.01,0.1
147,27531,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,10,0.01,0.5
148,27602,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,25,0.01,0.1
149,27602,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,25,0.01,0.5
150,26837,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,5,0.05,0.1
151,27015,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,5,0.05,0.5
